date,store,item,category,unit,price,phase,item_id
2026-07-06,Safeway - Prairie City Rd,Barilla spaghetti,Pantry,16 oz,2.5,pilot,spaghetti
2026-07-06,Safeway - Prairie City Rd,White sandwich bread (store brand),Pantry,20 oz loaf,2.8,pilot,bread
2026-07-06,Safeway - Prairie City Rd,Coca-Cola,Beverages,2 L,3.99,pilot,coke
2026-07-06,Safeway - Prairie City Rd,Starbucks Pike Place ground,Beverages,12 oz,13.99,pilot,coffee
2026-07-13,Walmart - Riley St,Whole milk (store brand),Dairy & Eggs,1 gal,3.73,pilot,milk
2026-07-13,Walmart - Riley St,Large eggs (store brand),Dairy & Eggs,dozen,1.47,pilot,eggs
2026-07-13,Walmart - Riley St,Tillamook medium cheddar,Dairy & Eggs,8 oz,3.88,pilot,cheddar
2026-07-13,Walmart - Riley St,Chicken breast (boneless),Meat & Poultry,per lb,2.57,pilot,chicken
2026-07-13,Walmart - Riley St,Ground beef 80/20,Meat & Poultry,per lb,6.26,pilot,beef
2026-07-13,Walmart - Riley St,Bananas,Produce,per lb,0.5,pilot,bananas
2026-07-13,Walmart - Riley St,Baby carrots,Produce,1 lb bag,1.32,pilot,carrots
2026-07-13,Walmart - Riley St,Romaine hearts,Produce,3 ct,3.83,pilot,romaine
2026-07-13,Walmart - Riley St,Cheerios,Pantry,18 oz,4.47,pilot,cheerios
2026-07-13,Walmart - Riley St,Jif creamy peanut butter,Pantry,16 oz,2.98,pilot,peanutbutter
2026-07-13,Walmart - Riley St,Barilla spaghetti,Pantry,16 oz,1.84,pilot,spaghetti
2026-07-13,Walmart - Riley St,White sandwich bread (store brand),Pantry,20 oz loaf,1.63,pilot,bread
2026-07-13,Walmart - Riley St,Coca-Cola,Beverages,2 L,2.97,pilot,coke
2026-07-13,Walmart - Riley St,Starbucks Pike Place ground,Beverages,12 oz,11.87,pilot,coffee
2026-07-13,Target - Blue Ravine Rd,Whole milk (store brand),Dairy & Eggs,1 gal,4.29,pilot,milk
2026-07-13,Target - Blue Ravine Rd,Large eggs (store brand),Dairy & Eggs,dozen,1.49,pilot,eggs
2026-07-13,Target - Blue Ravine Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,4.19,pilot,cheddar
2026-07-13,Target - Blue Ravine Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.69,pilot,chicken
2026-07-13,Target - Blue Ravine Rd,Ground beef 80/20,Meat & Poultry,per lb,6.99,pilot,beef
2026-07-13,Target - Blue Ravine Rd,Bananas,Produce,per banana,0.29,pilot,bananas
2026-07-13,Target - Blue Ravine Rd,Baby carrots,Produce,1 lb bag,1.7,pilot,carrots
2026-07-13,Target - Blue Ravine Rd,Romaine hearts,Produce,3 ct,3.99,pilot,romaine
2026-07-13,Target - Blue Ravine Rd,Cheerios,Pantry,18 oz,4.79,pilot,cheerios
2026-07-13,Target - Blue Ravine Rd,Jif creamy peanut butter,Pantry,16 oz,2.99,pilot,peanutbutter
2026-07-13,Target - Blue Ravine Rd,Barilla spaghetti,Pantry,16 oz,1.89,pilot,spaghetti
2026-07-13,Target - Blue Ravine Rd,White sandwich bread (store brand),Pantry,20 oz loaf,1.49,pilot,bread
2026-07-13,Target - Blue Ravine Rd,Coca-Cola,Beverages,2 L,2.5,pilot,coke
2026-07-13,Target - Blue Ravine Rd,Starbucks Pike Place ground,Beverages,12 oz,12.79,pilot,coffee
2026-07-13,Safeway - Prairie City Rd,Whole milk (store brand),Dairy & Eggs,1 gal,5.79,pilot,milk
2026-07-13,Safeway - Prairie City Rd,Large eggs (store brand),Dairy & Eggs,dozen,3.99,pilot,eggs
2026-07-13,Safeway - Prairie City Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,5.49,pilot,cheddar
2026-07-13,Safeway - Prairie City Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.99,pilot,chicken
2026-07-13,Safeway - Prairie City Rd,Ground beef 80/20,Meat & Poultry,per lb,11.99,pilot,beef
2026-07-13,Safeway - Prairie City Rd,Bananas,Produce,per lb,0.89,pilot,bananas
2026-07-13,Safeway - Prairie City Rd,Baby carrots,Produce,1 lb bag,2.99,pilot,carrots
2026-07-13,Safeway - Prairie City Rd,Romaine hearts,Produce,3 ct,4.99,pilot,romaine
2026-07-13,Safeway - Prairie City Rd,Cheerios,Pantry,18 oz,6.99,pilot,cheerios
2026-07-13,Safeway - Prairie City Rd,Jif creamy peanut butter,Pantry,16 oz,3.99,pilot,peanutbutter
2026-07-13,Safeway - Prairie City Rd,Barilla spaghetti,Pantry,16 oz,2.5,pilot,spaghetti
2026-07-13,Safeway - Prairie City Rd,White sandwich bread (store brand),Pantry,20 oz loaf,2.99,pilot,bread
2026-07-13,Safeway - Prairie City Rd,Coca-Cola,Beverages,2 L,3.99,pilot,coke
2026-07-13,Safeway - Prairie City Rd,Starbucks Pike Place ground,Beverages,12 oz,9.99,pilot,coffee
2026-07-20,Walmart - Riley St,Whole milk (store brand),Dairy & Eggs,1 gal,3.73,pilot,milk
2026-07-20,Walmart - Riley St,Large eggs (store brand),Dairy & Eggs,dozen,1.47,pilot,eggs
2026-07-20,Walmart - Riley St,Tillamook medium cheddar,Dairy & Eggs,8 oz,3.88,pilot,cheddar
2026-07-20,Walmart - Riley St,Chicken breast (boneless),Meat & Poultry,per lb,2.57,pilot,chicken
2026-07-20,Walmart - Riley St,Ground beef 80/20,Meat & Poultry,per lb,6.26,pilot,beef
2026-07-20,Walmart - Riley St,Bananas,Produce,per lb,0.5,pilot,bananas
2026-07-20,Walmart - Riley St,Baby carrots,Produce,1 lb bag,1.44,pilot,carrots
2026-07-20,Walmart - Riley St,Romaine hearts,Produce,3 ct,3.83,pilot,romaine
2026-07-20,Walmart - Riley St,Cheerios,Pantry,18 oz,4.47,pilot,cheerios
2026-07-20,Walmart - Riley St,Jif creamy peanut butter,Pantry,16 oz,2.98,pilot,peanutbutter
2026-07-20,Walmart - Riley St,Barilla spaghetti,Pantry,16 oz,1.84,pilot,spaghetti
2026-07-20,Walmart - Riley St,White sandwich bread (store brand),Pantry,20 oz loaf,1.63,pilot,bread
2026-07-20,Walmart - Riley St,Coca-Cola,Beverages,2 L,2.97,pilot,coke
2026-07-20,Walmart - Riley St,Starbucks Pike Place ground,Beverages,12 oz,11.87,pilot,coffee
2026-07-20,Target - Blue Ravine Rd,Whole milk (store brand),Dairy & Eggs,1 gal,4.29,pilot,milk
2026-07-20,Target - Blue Ravine Rd,Large eggs (store brand),Dairy & Eggs,dozen,1.49,pilot,eggs
2026-07-20,Target - Blue Ravine Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,4.19,pilot,cheddar
2026-07-20,Target - Blue Ravine Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.69,pilot,chicken
2026-07-20,Target - Blue Ravine Rd,Ground beef 80/20,Meat & Poultry,per lb,6.99,pilot,beef
2026-07-20,Target - Blue Ravine Rd,Bananas,Produce,per banana,0.29,pilot,bananas
2026-07-20,Target - Blue Ravine Rd,Baby carrots,Produce,1 lb bag,1.89,pilot,carrots
2026-07-20,Target - Blue Ravine Rd,Romaine hearts,Produce,3 ct,3.99,pilot,romaine
2026-07-20,Target - Blue Ravine Rd,Cheerios,Pantry,18 oz,4.79,pilot,cheerios
2026-07-20,Target - Blue Ravine Rd,Jif creamy peanut butter,Pantry,16 oz,2.99,pilot,peanutbutter
2026-07-20,Target - Blue Ravine Rd,Barilla spaghetti,Pantry,16 oz,1.89,pilot,spaghetti
2026-07-20,Target - Blue Ravine Rd,White sandwich bread (store brand),Pantry,20 oz loaf,1.49,pilot,bread
2026-07-20,Target - Blue Ravine Rd,Coca-Cola,Beverages,2 L,3.19,pilot,coke
2026-07-20,Target - Blue Ravine Rd,Starbucks Pike Place ground,Beverages,12 oz,12.79,pilot,coffee
2026-07-20,Safeway - Prairie City Rd,Whole milk (store brand),Dairy & Eggs,1 gal,5.79,pilot,milk
2026-07-20,Safeway - Prairie City Rd,Large eggs (store brand),Dairy & Eggs,dozen,3.99,pilot,eggs
2026-07-20,Safeway - Prairie City Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,5.49,pilot,cheddar
2026-07-20,Safeway - Prairie City Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.99,pilot,chicken
2026-07-20,Safeway - Prairie City Rd,Ground beef 80/20,Meat & Poultry,per lb,6.99,pilot,beef
2026-07-20,Safeway - Prairie City Rd,Bananas,Produce,per lb,0.89,pilot,bananas
2026-07-20,Safeway - Prairie City Rd,Baby carrots,Produce,1 lb bag,3.99,pilot,carrots
2026-07-20,Safeway - Prairie City Rd,Romaine hearts,Produce,3 ct,4.99,pilot,romaine
2026-07-20,Safeway - Prairie City Rd,Cheerios,Pantry,18 oz,6.99,pilot,cheerios
2026-07-20,Safeway - Prairie City Rd,Jif creamy peanut butter,Pantry,16 oz,3.99,pilot,peanutbutter
2026-07-20,Safeway - Prairie City Rd,Barilla spaghetti,Pantry,16 oz,2.5,pilot,spaghetti
2026-07-20,Safeway - Prairie City Rd,White sandwich bread (store brand),Pantry,20 oz loaf,2.8,pilot,bread
2026-07-20,Safeway - Prairie City Rd,Coca-Cola,Beverages,2 L,3.99,pilot,coke
2026-07-20,Safeway - Prairie City Rd,Starbucks Pike Place ground,Beverages,12 oz,13.99,pilot,coffee
2026-07-27,Walmart - Riley St,Whole milk (store brand),Dairy & Eggs,1 gal,3.73,pilot,milk
2026-07-27,Walmart - Riley St,Large eggs (store brand),Dairy & Eggs,dozen,1.47,pilot,eggs
2026-07-27,Walmart - Riley St,Tillamook medium cheddar,Dairy & Eggs,8 oz,3.88,pilot,cheddar
2026-07-27,Walmart - Riley St,Chicken breast (boneless),Meat & Poultry,per lb,2.57,pilot,chicken
2026-07-27,Walmart - Riley St,Ground beef 80/20,Meat & Poultry,per lb,6.26,pilot,beef
2026-07-27,Walmart - Riley St,Bananas,Produce,per lb,0.5,pilot,bananas
2026-07-27,Walmart - Riley St,Baby carrots,Produce,1 lb bag,1.44,pilot,carrots
2026-07-27,Walmart - Riley St,Romaine hearts,Produce,3 ct,3.83,pilot,romaine
2026-07-27,Walmart - Riley St,Cheerios,Pantry,18 oz,4.47,pilot,cheerios
2026-07-27,Walmart - Riley St,Jif creamy peanut butter,Pantry,16 oz,2.98,pilot,peanutbutter
2026-07-27,Walmart - Riley St,Barilla spaghetti,Pantry,16 oz,1.84,pilot,spaghetti
2026-07-27,Walmart - Riley St,White sandwich bread (store brand),Pantry,20 oz loaf,1.63,pilot,bread
2026-07-27,Walmart - Riley St,Coca-Cola,Beverages,2 L,2.97,pilot,coke
2026-07-27,Walmart - Riley St,Starbucks Pike Place ground,Beverages,12 oz,11.87,pilot,coffee
2026-07-27,Target - Blue Ravine Rd,Whole milk (store brand),Dairy & Eggs,1 gal,4.29,pilot,milk
2026-07-27,Target - Blue Ravine Rd,Large eggs (store brand),Dairy & Eggs,dozen,1.49,pilot,eggs
2026-07-27,Target - Blue Ravine Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,4.19,pilot,cheddar
2026-07-27,Target - Blue Ravine Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.69,pilot,chicken
2026-07-27,Target - Blue Ravine Rd,Ground beef 80/20,Meat & Poultry,per lb,6.99,pilot,beef
2026-07-27,Target - Blue Ravine Rd,Bananas,Produce,per banana,0.29,pilot,bananas
2026-07-27,Target - Blue Ravine Rd,Baby carrots,Produce,1 lb bag,1.89,pilot,carrots
2026-07-27,Target - Blue Ravine Rd,Romaine hearts,Produce,3 ct,3.99,pilot,romaine
2026-07-27,Target - Blue Ravine Rd,Cheerios,Pantry,18 oz,4.79,pilot,cheerios
2026-07-27,Target - Blue Ravine Rd,Jif creamy peanut butter,Pantry,16 oz,2.99,pilot,peanutbutter
2026-07-27,Target - Blue Ravine Rd,Barilla spaghetti,Pantry,16 oz,1.89,pilot,spaghetti
2026-07-27,Target - Blue Ravine Rd,White sandwich bread (store brand),Pantry,20 oz loaf,1.49,pilot,bread
2026-07-27,Target - Blue Ravine Rd,Coca-Cola,Beverages,2 L,3.19,pilot,coke
2026-07-27,Target - Blue Ravine Rd,Starbucks Pike Place ground,Beverages,12 oz,12.79,pilot,coffee
2026-07-27,Safeway - Prairie City Rd,Whole milk (store brand),Dairy & Eggs,1 gal,5.99,pilot,milk
2026-07-27,Safeway - Prairie City Rd,Large eggs (store brand),Dairy & Eggs,dozen,3.99,pilot,eggs
2026-07-27,Safeway - Prairie City Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,5.49,pilot,cheddar
2026-07-27,Safeway - Prairie City Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.99,pilot,chicken
2026-07-27,Safeway - Prairie City Rd,Ground beef 80/20,Meat & Poultry,per lb,8.99,pilot,beef
2026-07-27,Safeway - Prairie City Rd,Bananas,Produce,per lb,0.89,pilot,bananas
2026-07-27,Safeway - Prairie City Rd,Baby carrots,Produce,1 lb bag,2.99,pilot,carrots
2026-07-27,Safeway - Prairie City Rd,Romaine hearts,Produce,3 ct,4.99,pilot,romaine
2026-07-27,Safeway - Prairie City Rd,Cheerios,Pantry,18 oz,6.99,pilot,cheerios
2026-07-27,Safeway - Prairie City Rd,Jif creamy peanut butter,Pantry,16 oz,3.99,pilot,peanutbutter
2026-07-27,Safeway - Prairie City Rd,Barilla spaghetti,Pantry,16 oz,2.5,pilot,spaghetti
2026-07-27,Safeway - Prairie City Rd,White sandwich bread (store brand),Pantry,20 oz loaf,3.2,pilot,bread
2026-07-27,Safeway - Prairie City Rd,Coca-Cola,Beverages,2 L,3.99,pilot,coke
2026-07-27,Safeway - Prairie City Rd,Starbucks Pike Place ground,Beverages,12 oz,7.99,pilot,coffee
2026-08-03,Walmart - Riley St,Whole milk (store brand),Dairy & Eggs,1 gal,3.58,pilot,milk
2026-08-03,Walmart - Riley St,Large eggs (store brand),Dairy & Eggs,dozen,1.47,pilot,eggs
2026-08-03,Walmart - Riley St,Tillamook medium cheddar,Dairy & Eggs,8 oz,3.88,pilot,cheddar
2026-08-03,Walmart - Riley St,Chicken breast (boneless),Meat & Poultry,per lb,2.57,pilot,chicken
2026-08-03,Walmart - Riley St,Ground beef 80/20,Meat & Poultry,per lb,6.76,pilot,beef
2026-08-03,Walmart - Riley St,Bananas,Produce,per lb,0.5,pilot,bananas
2026-08-03,Walmart - Riley St,Baby carrots,Produce,1 lb bag,1.44,pilot,carrots
2026-08-03,Walmart - Riley St,Romaine hearts,Produce,3 ct,3.63,pilot,romaine
2026-08-03,Walmart - Riley St,Cheerios,Pantry,18 oz,4.47,pilot,cheerios
2026-08-03,Walmart - Riley St,Jif creamy peanut butter,Pantry,16 oz,2.98,pilot,peanutbutter
2026-08-03,Walmart - Riley St,Barilla spaghetti,Pantry,16 oz,1.84,pilot,spaghetti
2026-08-03,Walmart - Riley St,White sandwich bread (store brand),Pantry,20 oz loaf,1.63,pilot,bread
2026-08-03,Walmart - Riley St,Coca-Cola,Beverages,2 L,2.97,pilot,coke
2026-08-03,Walmart - Riley St,Starbucks Pike Place ground,Beverages,12 oz,11.87,pilot,coffee
2026-08-03,Target - Blue Ravine Rd,Whole milk (store brand),Dairy & Eggs,1 gal,4.29,pilot,milk
2026-08-03,Target - Blue Ravine Rd,Large eggs (store brand),Dairy & Eggs,dozen,1.49,pilot,eggs
2026-08-03,Target - Blue Ravine Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,4.19,pilot,cheddar
2026-08-03,Target - Blue Ravine Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.69,pilot,chicken
2026-08-03,Target - Blue Ravine Rd,Ground beef 80/20,Meat & Poultry,per lb,6.99,pilot,beef
2026-08-03,Target - Blue Ravine Rd,Bananas,Produce,per banana,0.29,pilot,bananas
2026-08-03,Target - Blue Ravine Rd,Baby carrots,Produce,1 lb bag,1.89,pilot,carrots
2026-08-03,Target - Blue Ravine Rd,Romaine hearts,Produce,3 ct,3.99,pilot,romaine
2026-08-03,Target - Blue Ravine Rd,Cheerios,Pantry,18 oz,4.79,pilot,cheerios
2026-08-03,Target - Blue Ravine Rd,Jif creamy peanut butter,Pantry,16 oz,2.99,pilot,peanutbutter
2026-08-03,Target - Blue Ravine Rd,Barilla spaghetti,Pantry,16 oz,1.89,pilot,spaghetti
2026-08-03,Target - Blue Ravine Rd,White sandwich bread (store brand),Pantry,20 oz loaf,1.49,pilot,bread
2026-08-03,Target - Blue Ravine Rd,Coca-Cola,Beverages,2 L,3.19,pilot,coke
2026-08-03,Target - Blue Ravine Rd,Starbucks Pike Place ground,Beverages,12 oz,12.79,pilot,coffee
2026-08-03,Safeway - Prairie City Rd,Whole milk (store brand),Dairy & Eggs,1 gal,5.99,pilot,milk
2026-08-03,Safeway - Prairie City Rd,Large eggs (store brand),Dairy & Eggs,dozen,3.99,pilot,eggs
2026-08-03,Safeway - Prairie City Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,4.99,pilot,cheddar
2026-08-03,Safeway - Prairie City Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.99,pilot,chicken
2026-08-03,Safeway - Prairie City Rd,Ground beef 80/20,Meat & Poultry,per lb,6.99,pilot,beef
2026-08-03,Safeway - Prairie City Rd,Bananas,Produce,per lb,0.89,pilot,bananas
2026-08-03,Safeway - Prairie City Rd,Baby carrots,Produce,1 lb bag,2.99,pilot,carrots
2026-08-03,Safeway - Prairie City Rd,Romaine hearts,Produce,3 ct,4.99,pilot,romaine
2026-08-03,Safeway - Prairie City Rd,Cheerios,Pantry,18 oz,3.99,pilot,cheerios
2026-08-03,Safeway - Prairie City Rd,Jif creamy peanut butter,Pantry,16 oz,3.99,pilot,peanutbutter
2026-08-03,Safeway - Prairie City Rd,Barilla spaghetti,Pantry,16 oz,2.5,pilot,spaghetti
2026-08-03,Safeway - Prairie City Rd,White sandwich bread (store brand),Pantry,20 oz loaf,3.2,pilot,bread
2026-08-03,Safeway - Prairie City Rd,Coca-Cola,Beverages,2 L,3.99,pilot,coke
2026-08-03,Safeway - Prairie City Rd,Starbucks Pike Place ground,Beverages,12 oz,13.99,pilot,coffee
2026-08-10,Walmart - Riley St,Whole milk (store brand),Dairy & Eggs,1 gal,3.58,pilot,milk
2026-08-10,Walmart - Riley St,Large eggs (store brand),Dairy & Eggs,dozen,1.47,pilot,eggs
2026-08-10,Walmart - Riley St,Tillamook medium cheddar,Dairy & Eggs,8 oz,3.88,pilot,cheddar
2026-08-10,Walmart - Riley St,Chicken breast (boneless),Meat & Poultry,per lb,2.57,pilot,chicken
2026-08-10,Walmart - Riley St,Ground beef 80/20,Meat & Poultry,per lb,6.76,pilot,beef
2026-08-10,Walmart - Riley St,Bananas,Produce,per lb,0.5,pilot,bananas
2026-08-10,Walmart - Riley St,Baby carrots,Produce,1 lb bag,1.44,pilot,carrots
2026-08-10,Walmart - Riley St,Romaine hearts,Produce,3 ct,3.63,pilot,romaine
2026-08-10,Walmart - Riley St,Cheerios,Pantry,18 oz,4.47,pilot,cheerios
2026-08-10,Walmart - Riley St,Jif creamy peanut butter,Pantry,16 oz,2.98,pilot,peanutbutter
2026-08-10,Walmart - Riley St,Barilla spaghetti,Pantry,16 oz,1.84,pilot,spaghetti
2026-08-10,Walmart - Riley St,White sandwich bread (store brand),Pantry,20 oz loaf,1.63,pilot,bread
2026-08-10,Walmart - Riley St,Coca-Cola,Beverages,2 L,2.97,pilot,coke
2026-08-10,Walmart - Riley St,Starbucks Pike Place ground,Beverages,12 oz,11.87,pilot,coffee
2026-08-10,Target - Blue Ravine Rd,Whole milk (store brand),Dairy & Eggs,1 gal,3.99,pilot,milk
2026-08-10,Target - Blue Ravine Rd,Large eggs (store brand),Dairy & Eggs,dozen,1.49,pilot,eggs
2026-08-10,Target - Blue Ravine Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,4.19,pilot,cheddar
2026-08-10,Target - Blue Ravine Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.69,pilot,chicken
2026-08-10,Target - Blue Ravine Rd,Ground beef 80/20,Meat & Poultry,per lb,6.99,pilot,beef
2026-08-10,Target - Blue Ravine Rd,Bananas,Produce,per banana,0.29,pilot,bananas
2026-08-10,Target - Blue Ravine Rd,Baby carrots,Produce,1 lb bag,1.39,pilot,carrots
2026-08-10,Target - Blue Ravine Rd,Romaine hearts,Produce,3 ct,3.99,pilot,romaine
2026-08-10,Target - Blue Ravine Rd,Cheerios,Pantry,18 oz,4.79,pilot,cheerios
2026-08-10,Target - Blue Ravine Rd,Jif creamy peanut butter,Pantry,16 oz,2.99,pilot,peanutbutter
2026-08-10,Target - Blue Ravine Rd,Barilla spaghetti,Pantry,16 oz,1.89,pilot,spaghetti
2026-08-10,Target - Blue Ravine Rd,White sandwich bread (store brand),Pantry,20 oz loaf,1.49,pilot,bread
2026-08-10,Target - Blue Ravine Rd,Coca-Cola,Beverages,2 L,3.19,pilot,coke
2026-08-10,Target - Blue Ravine Rd,Starbucks Pike Place ground,Beverages,12 oz,12.79,pilot,coffee
2026-08-10,Safeway - Prairie City Rd,Whole milk (store brand),Dairy & Eggs,1 gal,5.99,pilot,milk
2026-08-10,Safeway - Prairie City Rd,Large eggs (store brand),Dairy & Eggs,dozen,3.99,pilot,eggs
2026-08-10,Safeway - Prairie City Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,4.99,pilot,cheddar
2026-08-10,Safeway - Prairie City Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.99,pilot,chicken
2026-08-10,Safeway - Prairie City Rd,Ground beef 80/20,Meat & Poultry,per lb,6.99,pilot,beef
2026-08-10,Safeway - Prairie City Rd,Bananas,Produce,per lb,0.89,pilot,bananas
2026-08-10,Safeway - Prairie City Rd,Baby carrots,Produce,1 lb bag,2.99,pilot,carrots
2026-08-10,Safeway - Prairie City Rd,Romaine hearts,Produce,3 ct,4.99,pilot,romaine
2026-08-10,Safeway - Prairie City Rd,Cheerios,Pantry,18 oz,5.99,pilot,cheerios
2026-08-10,Safeway - Prairie City Rd,Jif creamy peanut butter,Pantry,16 oz,3.79,pilot,peanutbutter
2026-08-10,Safeway - Prairie City Rd,Barilla spaghetti,Pantry,16 oz,2.5,pilot,spaghetti
2026-08-10,Safeway - Prairie City Rd,White sandwich bread (store brand),Pantry,20 oz loaf,3.2,pilot,bread
2026-08-10,Safeway - Prairie City Rd,Coca-Cola,Beverages,2 L,3.99,pilot,coke
2026-08-10,Safeway - Prairie City Rd,Starbucks Pike Place ground,Beverages,12 oz,13.99,pilot,coffee
2026-08-17,Walmart - Riley St,Whole milk (store brand),Dairy & Eggs,1 gal,3.52,pilot,milk
2026-08-17,Walmart - Riley St,Large eggs (store brand),Dairy & Eggs,dozen,1.67,pilot,eggs
2026-08-17,Walmart - Riley St,Tillamook medium cheddar,Dairy & Eggs,8 oz,3.88,pilot,cheddar
2026-08-17,Walmart - Riley St,Chicken breast (boneless),Meat & Poultry,per lb,2.57,pilot,chicken
2026-08-17,Walmart - Riley St,Ground beef 80/20,Meat & Poultry,per lb,6.76,pilot,beef
2026-08-17,Walmart - Riley St,Bananas,Produce,per lb,0.5,pilot,bananas
2026-08-17,Walmart - Riley St,Baby carrots,Produce,1 lb bag,1.44,pilot,carrots
2026-08-17,Walmart - Riley St,Romaine hearts,Produce,3 ct,3.63,pilot,romaine
2026-08-17,Walmart - Riley St,Cheerios,Pantry,18 oz,4.47,pilot,cheerios
2026-08-17,Walmart - Riley St,Jif creamy peanut butter,Pantry,16 oz,2.98,pilot,peanutbutter
2026-08-17,Walmart - Riley St,Barilla spaghetti,Pantry,16 oz,1.84,pilot,spaghetti
2026-08-17,Walmart - Riley St,White sandwich bread (store brand),Pantry,20 oz loaf,1.63,pilot,bread
